"blind_id","detection_status"
"blind_000001","missed"
"blind_000002","missed"
"blind_000003","missed"
"blind_000004","missed"
"blind_000005","missed"
"blind_000006","missed"
"blind_000007","missed"
"blind_000008","missed"
"blind_000009","missed"
"blind_000010","missed"
"blind_000011","missed"
"blind_000012","missed"
"blind_000013","missed"
"blind_000014","missed"
"blind_000015","missed"
"blind_000016","missed"
"blind_000017","missed"
"blind_000018","missed"
"blind_000019","found"
"blind_000020","missed"
"blind_000021","missed"
"blind_000022","missed"
"blind_000023","missed"
"blind_000024","found"
"blind_000025","missed"
"blind_000026","missed"
"blind_000027","missed"
"blind_000028","missed"
"blind_000029","missed"
"blind_000030","missed"
"blind_000031","missed"
"blind_000032","missed"
"blind_000033","missed"
"blind_000034","missed"
"blind_000035","found"
"blind_000036","missed"
"blind_000037","missed"
"blind_000038","missed"
"blind_000039","missed"
"blind_000040","missed"
"blind_000041","missed"
"blind_000042","missed"
"blind_000043","missed"
"blind_000044","found"
"blind_000045","missed"
"blind_000046","missed"
"blind_000047","missed"
"blind_000048","missed"
"blind_000049","missed"
"blind_000050","missed"
"blind_000051","missed"
"blind_000052","missed"
"blind_000053","missed"
"blind_000054","missed"
"blind_000055","missed"
"blind_000056","missed"
"blind_000057","missed"
"blind_000058","missed"
"blind_000059","missed"
"blind_000060","missed"
"blind_000061","missed"
"blind_000062","missed"
"blind_000063","missed"
"blind_000064","missed"
"blind_000065","found"
"blind_000066","found"
"blind_000067","missed"
"blind_000068","found"
"blind_000069","found"
"blind_000070","missed"
"blind_000071","missed"
"blind_000072","missed"
"blind_000073","missed"
"blind_000074","missed"
"blind_000075","missed"
"blind_000076","missed"
"blind_000077","missed"
"blind_000078","missed"
"blind_000079","missed"
"blind_000080","missed"
"blind_000081","found"
"blind_000082","missed"
"blind_000083","missed"
"blind_000084","missed"
"blind_000085","found"
"blind_000086","found"
"blind_000087","missed"
"blind_000088","missed"
"blind_000089","missed"
"blind_000090","missed"
"blind_000091","missed"
"blind_000092","missed"
"blind_000093","missed"
"blind_000094","missed"
"blind_000095","missed"
"blind_000096","missed"
"blind_000097","missed"
"blind_000098","missed"
"blind_000099","missed"
"blind_000100","missed"
"blind_000101","missed"
"blind_000102","missed"
"blind_000103","missed"
"blind_000104","found"
"blind_000105","found"
"blind_000106","found"
"blind_000107","found"
"blind_000108","found"
"blind_000109","missed"
"blind_000110","missed"
"blind_000111","missed"
"blind_000112","missed"
"blind_000113","missed"
"blind_000114","missed"
"blind_000115","missed"
"blind_000116","missed"
"blind_000117","found"
"blind_000118","missed"
"blind_000119","missed"
"blind_000120","missed"
